sep=\t
Module Resource Usage Distribution Estimates
Generated at: May 07, 2026 11:39:37

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	       FFs	      SRLs	      ADDs	      LUTs	    COMB4s	      RAMs	 DSP/MULTs
      +async_clk.wr2rd_addr_sync:efx_asyncreg_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=3,ACTIVE_LOW=0,OFF_ASSERTION=1)	     6(6)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
      +async_clk.wr2rd_gray2bin:efx_fifo_gray2bin_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=3)	     0(0)	     0(0)	     0(0)	     2(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=2)	     0(0)	     0(0)	     0(0)	     1(1)	     0(0)	     0(0)	     0(0)	
    +w_data_inst:efx_fifo_top_2d715ebddfec4a2289c485ca66dd30eb(FAMILY="TITANIUM",DEPTH=16,DATA_WIDTH=72,OPTIONAL_FLAGS=0,PROGRAMMABLE_FULL="NONE",PROGRAMMABLE_EMPTY="NONE",ASYM_WIDTH_RATIO=2)	    56(0)	     0(0)	     7(0)	    50(0)	     0(0)	     5(0)	     0(0)	
     +genblk2.genblk1.efx_resetsync_wr_rst:efx_resetsync_2d715ebddfec4a2289c485ca66dd30eb(ACTIVE_LOW=0)	     2(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
      +active_high.efx_resetsync_active_high:efx_asyncreg_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	     2(2)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
     +genblk2.genblk1.efx_resetsync_rd_rst:efx_resetsync_2d715ebddfec4a2289c485ca66dd30eb(ACTIVE_LOW=0)	     2(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
      +active_high.efx_resetsync_active_high:efx_asyncreg_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=1,ACTIVE_LOW=0,RST_VALUE=1)	     2(2)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
     +xefx_fifo_ram:efx_fifo_ram_2d715ebddfec4a2289c485ca66dd30eb(FAMILY="TITANIUM",WR_DEPTH=16,RD_DEPTH=64,WDATA_WIDTH=72,RDATA_WIDTH=18,WADDR_WIDTH=4,RADDR_WIDTH=6,OUTPUT_REG=0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     5(5)	     0(0)	
     +xefx_fifo_ctl:efx_fifo_ctl_2d715ebddfec4a2289c485ca66dd30eb(SYNC_CLK=0,WR_DEPTH=16,WADDR_WIDTH=4,RADDR_WIDTH=6,ASYM_WIDTH_RATIO=2,RAM_MUX_RATIO=4,ALMOST_FLAG=0,PROG_FULL_ASSERT=27,PROG_FULL_NEGATE=23,PROG_EMPTY_ASSERT=5,PROG_EMPTY_NEGATE=7,HANDSHAKE_FLAG=0,OVERFLOW_PROTECT=1,UNDERFLOW_PROTECT=1)	   52(32)	     0(0)	     7(7)	   50(35)	     0(0)	     0(0)	     0(0)	
      +async_clk.xrd2wr_bin2gray:efx_fifo_bin2gray_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=7)	     0(0)	     0(0)	     0(0)	     4(4)	     0(0)	     0(0)	     0(0)	
      +async_clk.xrd2wr_addr_sync:efx_asyncreg_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=7,ACTIVE_LOW=0,OFF_ASSERTION=1)	   10(10)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	     0(0)	
      +async_clk.xrd2wr_gray2bin:efx_fifo_gray2bin_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=7)	     0(0)	     0(0)	     0(0)	     4(1)	     0(0)	     0(0)	     0(0)	
       +genblk1.genblk1.u_gray2bin:efx_fifo_gray2bin_2d715ebddfec4a2289c485ca66dd30eb(WIDTH=6)	     0(0)	     0(0)	     0(0)	     3(1)	     0(0)	     0(0)	     0(0)	
