Designator,Center-X(mm),Center-Y(mm),Layer,Rotation
C12,250.4122,51.7266,TopLayer,180
C11,271.2402,61.9120,TopLayer,180
R8,180.6448,42.9006,TopLayer,0
R7,136.4864,42.3418,TopLayer,0
R6,183.6928,42.9006,TopLayer,180
R5,139.5344,42.3418,TopLayer,180
R4,92.6072,43.6118,TopLayer,0
R3,48.6562,43.8220,TopLayer,0
R2,95.6552,43.6118,TopLayer,180
R1,51.7042,43.8220,TopLayer,180
C10,180.6118,40.8686,TopLayer,0
C9,136.4864,40.5638,TopLayer,0
C8,183.6928,40.8686,TopLayer,180
C7,139.5344,40.5638,TopLayer,180
C6,48.6562,41.7900,TopLayer,0
C5,92.6072,41.5798,TopLayer,0
C3,51.7042,41.7900,TopLayer,180
IC2,166.0000,127.0000,TopLayer,0
IC1,165.7880,143.7500,TopLayer,0
C2,159.4000,125.8000,TopLayer,180
C1,159.5200,143.0000,TopLayer,180
U2,219.7481,124.1679,TopLayer,270
U5,272.75028,124.1679,TopLayer,270
