JLCPCB BOM Tool - BOM Matching,,,,,,,,,,,,,,,,,
BOM name：Atari-XT-JLCPCB Assembly Order.xlsx,,,Download Time：2026-07-17 00:27:52,,,,"* Our matching results are updated in real-time, but stock and prices may change. 
If it's been over 24 hours, please re-match before placing your order.",,,,,,,,,,
PCB Assembled Qty：5,,,Est. Total Price：88.0650,,,,,,,,,,,,,,
Your BOM,,,,,Matched Parts,,,,,,,Order Information,,,,,
Top Designator,Bottom Designator,Comment,Footprint,JLCPCB Part #,Matches,Part # ,Manufacturer,Footprint,Description,Category,Warning,JLCPCB Part #,Product link,Lib Type,Qty,Source,Total Price ($)
IC4,,AP2112K-3.3,SOT95P285X140-5N,,Select by System,AP2112K-3.3TRG1,Diodes Incorporated,SOT-25-5,"-40℃~+85℃@(Ta) 1 250mV@(600mA) 3.3V 50uVrms 55uA 600mA 65dB@(1kHz) 6V Fixed Over Current Protection、Thermal Shutdown、Enable control Positive SOT-25-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS","Voltage Regulators - Linear, Low Drop Out (LDO) Regulators",,C51118,https://jlcpcb.com/partdetail/DiodesIncorporated-AP2112K_33TRG1/C51118,Extended,7,7 JLCPCB,1.0941
IC6,,USB2514B_M2,QFN50P600X600X100-37N-D,,Select by System,USB2514B/M2,Microchip Tech,SQFN-36-EP(6x6),0℃~+85℃ 3.3V 4 Hub I2C USB 2.0 SQFN-36-EP(6x6) USB HUB Controllers ROHS,USB Converters,,C220807,https://jlcpcb.com/partdetail/MicrochipTech-USB2514BM2/C220807,Extended,5,5 JLCPCB,14.934
"IC7,IC8,IC10,IC11",,TPS2051BDBVR,SOT95P280X145-5N,,Select by System,TPS2051BDBVR,Texas Instruments,SOT-23-5,-40℃~+85℃ 1 2.7V~5.5V 500mA 95mΩ Active High High Side Switch Short-Circuit  Protection(SCP)、Overcurrent Protection(OCP)、Overtemperature protection (OTP) SOT-23-5 Power Distribution Switches ROHS,Power Distribution Switches,,C24593,https://jlcpcb.com/partdetail/TexasInstruments-TPS2051BDBVR/C24593,Extended,20,20 JLCPCB,4.242
IC9,,6N138,DIP762W60P254L976H480Q8N,,Select by Customer,6N138M,"UMW(Youtai Semiconductor Co., Ltd.)",DIP-8,-500mV~18V -55℃~+100℃ 1 1.28V 15us 18V 1kV/us 200mW 25mA 300% 35us 5V 5kV 60mA DC Output enable control DIP-8 Logic Output Optoisolators ROHS,Logic Output Optoisolators,,C3001991,https://jlcpcb.com/partdetail/3486698-6N138M/C3001991,Extended,5,5 JLCPCB,1.7115
IC12,,MC74HCT125ADR2G,SOIC127P600X175-14N,,Select by System,MC74HCT125ADR2G,onsemi,SOIC-14,"-55℃~+125℃ 1 160uA 27ns@5V,50pF 2V~6V 4 6mA 6mA 74HCT Output enable Tri-State Unidirectional SOIC-14 Buffers, Drivers, Receivers, Transceivers ROHS","Buffers, Drivers, Receivers, Transceivers",,C185605,https://jlcpcb.com/partdetail/onsemi-MC74HCT125ADR2G/C185605,Extended,5,5 My Parts,0
IC13,,PCM1808PWR,PCM1808PWR,,Select by System,PCM1808PWR,Texas Instruments,TSSOP-14,-40℃~+85℃ 1uA、150uA 2 24 4.5V~5.5V 49.152MHz 96000Hz Audio Analog-to-Digital Converter I2S TSSOP-14 ADCs/DACs - Special Purpose ROHS,ADCs/DACs - Special Purpose,,C55513,https://jlcpcb.com/partdetail/TexasInstruments-PCM1808PWR/C55513,Extended,5,5 JLCPCB,3.669
IC14,,SN74HC138PWR,SOP65P640X120-16N,,Select by System,SN74HC138PWR,Texas Instruments,TSSOP-16,"-40℃~+85℃ 2V~6V 3/8 38ns@6V,50pF 5.2mA 5.2mA 80uA Single Supply TSSOP-16 Signal Switches, Multiplexers, Decoders ROHS","Signal Switches, Multiplexers, Decoders",,C157527,https://jlcpcb.com/partdetail/TexasInstruments-SN74HC138PWR/C157527,Extended,5,5 JLCPCB,1.2285
J3,,47053-1000,470531000,,Select by Customer,470531000,MOLEX,"插件,P=2.54mm","1 10.2mm 1x4P 2.54mm 4 4P 5.84mm 7.5mm Copper alloy PA Through Hole Tin UL94V-2 White 插件,P=2.54mm Wire To Board Connector ROHS",Wire To Board Connector,,C240840,https://jlcpcb.com/partdetail/MOLEX-470531000/C240840,Extended,5,5 JLCPCB,0.909
J7,,5650118-1,56501181,,Select by Customer,5650118-1,TE Connectivity,插件,插件 Edgeboard Connectors ROHS,,,C5164561,https://jlcpcb.com/partdetail/TEConnectivity-56501181/C5164561,Extended,5,5 My Parts,0
"J9,J10",,USB-AP-S-RA,USBAPSRA,,Select by System,USB-AP-S-RA,ADAM TECH,插件,-20℃~+60℃ 1 1.5A 18.8mm 30V 6P Male Right Angle Type-A 插件 USB Connectors ROHS,USB Connectors,,C5299681,https://jlcpcb.com/partdetail/ADAMTECH-USB_AP_SRA/C5299681,Extended,10,10 My Parts,0
